,rice,wheat,onion,tomato,potato,sugar,milk,egg,chicken,oil,chili
rice,1.0,0.20956840337716368,-0.14138622886474358,0.3396560682379606,-0.11519582948835674,0.42265298715642097,0.511544939188561,0.6979456875808016,0.15850317624438018,0.2859128009488963,0.8507400967540806
wheat,0.20956840337716368,1.0,0.1142796620545398,-0.203826336718074,0.10555077578730541,-0.15905749295014296,0.7190144697187856,-0.10824692465072737,0.8157797650487644,0.8359989110924595,0.29491184362916734
onion,-0.14138622886474358,0.1142796620545398,1.0,0.264808611262599,0.4849726579023275,0.2667165150648845,-0.08500202088662108,0.024191174080575566,0.14964981598754143,0.1126942474857637,-0.14320399430491917
tomato,0.3396560682379606,-0.203826336718074,0.264808611262599,1.0,0.5817286243457485,0.8269902885466984,-0.19681738090075998,0.6914294988295656,-0.17871423411530285,-0.14474499082232142,0.3030767193877133
potato,-0.11519582948835674,0.10555077578730541,0.4849726579023275,0.5817286243457485,1.0,0.5494300606996881,-0.1836738266515373,0.21354151528899407,0.1333052759684247,0.11873279967450232,-0.13915562921653993
sugar,0.42265298715642097,-0.15905749295014296,0.2667165150648845,0.8269902885466984,0.5494300606996881,1.0,-0.11253261446780323,0.7051238509212686,-0.1662508402455522,-0.07693575318276132,0.35220364784944536
milk,0.511544939188561,0.7190144697187856,-0.08500202088662108,-0.19681738090075998,-0.1836738266515373,-0.11253261446780323,1.0,0.12078454212927017,0.6844299375466086,0.7445115815884534,0.5762584766065059
egg,0.6979456875808016,-0.10824692465072737,0.024191174080575566,0.6914294988295656,0.21354151528899407,0.7051238509212686,0.12078454212927017,1.0,-0.14258720673211436,-0.07604496533815973,0.6622355361496273
chicken,0.15850317624438018,0.8157797650487644,0.14964981598754143,-0.17871423411530285,0.1333052759684247,-0.1662508402455522,0.6844299375466086,-0.14258720673211436,1.0,0.8477115598024044,0.2016633312131035
oil,0.2859128009488963,0.8359989110924595,0.1126942474857637,-0.14474499082232142,0.11873279967450232,-0.07693575318276132,0.7445115815884534,-0.07604496533815973,0.8477115598024044,1.0,0.2926559604202278
chili,0.8507400967540806,0.29491184362916734,-0.14320399430491917,0.3030767193877133,-0.13915562921653993,0.35220364784944536,0.5762584766065059,0.6622355361496273,0.2016633312131035,0.2926559604202278,1.0
